q4;q8;q13;q14;q15;q17;q23;cNotas
f;e;a;a;a;b;b;pessima
f;f;f;a;f;b;e;media
e;f;a;a;a;e;d;ruim
d;c;a;a;a;b;c;media                                                                                                                                                                                                                                                          
e;e;a;a;a;b;e;pessima                                                                                                                                                                                                                                                        
f;e;a;a;a;b;c;media                                                                                                                                                                                                                                                          
d;f;a;a;a;b;b;media                                                                                                                                                                                                                                                          
d;f;a;a;a;b;c;ruim                                                                                                                                                                                                                                                           
f;g;a;a;a;b;b;media                                                                                                                                                                                                                                                          
d;c;a;a;a;b;b;media                                                                                                                                                                                                                                                          
e;e;a;a;a;b;d;media                                                                                                                                                                                                                                                          
c;c;a;a;a;a;b;ruim                                                                                                                                                                                                                                                           
d;b;b;a;a;b;b;media                                                                                                                                                                                                                                                          
e;e;a;a;c;b;d;ruim                                                                                                                                                                                                                                                           
d;f;a;a;a;b;b;media                                                                                                                                                                                                                                                          
e;f;a;a;a;b;c;media                                                                                                                                                                                                                                                          
f;f;a;e;a;b;b;ruim                                                                                                                                                                                                                                                           
d;e;a;e;a;b;d;media                                                                                                                                                                                                                                                          
e;f;a;a;a;b;c;ruim                                                                                                                                                                                                                                                           
f;f;a;a;a;b;b;pessima                                                                                                                                                                                                                                                        
f;d;f;a;a;b;e;ruim                                                                                                                                                                                                                                                           
e;e;a;a;a;b;c;media                                                                                                                                                                                                                                                          
e;f;a;a;a;b;b;ruim                                                                                                                                                                                                                                                           
d;e;a;a;a;e;c;ruim                                                                                                                                                                                                                                                           
e;e;a;a;a;f;d;ruim                                                                                                                                                                                                                                                           
e;e;a;a;a;b;e;ruim                                                                                                                                                                                                                                                           
e;e;a;a;a;b;c;ruim                                                                                                                                                                                                                                                           
e;f;a;a;a;b;c;ruim                                                                                                                                                                                                                                                           
e;e;a;a;a;b;c;media                                                                                                                                                                                                                                                          
e;f;a;a;a;b;b;ruim                                                                                                                                                                                                                                                           
d;e;a;a;a;b;e;media                                                                                                                                                                                                                                                          
f;f;a;e;a;b;b;media                                                                                                                                                                                                                                                          
e;f;a;a;a;b;c;media                                                                                                                                                                                                                                                          
d;d;a;a;a;b;c;media                                                                                                                                                                                                                                                          
e;f;a;e;a;b;e;ruim                                                                                                                                                                                                                                                           
d;e;a;a;a;b;d;ruim                                                                                                                                                                                                                                                           
e;f;a;a;a;b;d;media                                                                                                                                                                                                                                                          
e;f;a;a;a;b;d;media                                                                                                                                                                                                                                                          
